epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.25149,0,4.88653,51.4842,0,0,0,0,0,0,0,0,0,0.00132,6.95099,59.7188,0.00075,2e-05,2e-05,2e-05
2,6.47085,0.04902,4.34641,51.673,0.02847,0,0,0,0,0,0,0,0,0.00132,6.95135,59.7188,0.00075,5.9406e-05,5.9406e-05,5.9406e-05
3,7.49153,0,8.18864,51.8238,0,0,0,0,0,0,0,0,0,0.00132,6.95549,59.7188,0.00075,9.802e-05,9.802e-05,9.802e-05
4,8.52717,0.01132,5.40243,51.5061,0.00657,0,0,0,0,0,0,0,0,0.00132,6.95806,59.7188,0.00075,0.000135842,0.000135842,0.000135842
5,9.82072,1.94413,11.1048,50.1579,1.17584,0,0,0,0,0,0,0,0,0.00132,6.9581,59.7188,0.00075,0.000172872,0.000172872,0.000172872
6,10.9081,0,4.44113,49.1226,0,0,0,0,0,0,0,0,0,0.00132,6.96393,59.7188,0.00075,0.00020911,0.00020911,0.00020911
7,12.0445,1.43752,2.58019,49.4919,0.86466,0,0,0,0,0,0,0,0,0.00132,6.96735,59.7188,0.00075,0.000244556,0.000244556,0.000244556
8,13.3321,2e-05,2.46348,47.3923,1e-05,0,0,0,0,0,0,0,0,0.00132,6.96997,59.7188,0.00075,0.00027921,0.00027921,0.00027921
9,14.7208,0,2.47652,46.5367,0,0,0,0,0,0,0,0,0,0.00132,6.97559,59.7188,0.00075,0.000313072,0.000313072,0.000313072
10,16.2098,5e-05,7.132,46.2702,3e-05,0,0,0,0,0,0,0,0,0.00132,6.98253,59.7188,0.00075,0.000346142,0.000346142,0.000346142
11,17.3295,0,8.99339,45.2605,0,0,0,0,0,0,0,0,0,0.00132,6.98791,59.7188,0.00075,0.00037842,0.00037842,0.00037842
12,18.4626,0.00038,4.76567,44.013,0.00021,0,0,0,0,0,0,0,0,0.00133,6.99058,59.7188,0.00075,0.000409906,0.000409906,0.000409906
13,19.5676,0,2.75601,42.9406,0,0,0,0,0,0,0,0,0,0.00133,6.99604,59.7188,0.00075,0.0004406,0.0004406,0.0004406
14,20.6384,1.54208,5.94939,42.7658,0.89386,0,0,0,0,0,0,0,0,0.00135,7.00038,59.7188,0.00076,0.000470502,0.000470502,0.000470502
15,21.7146,0.00131,3.17901,40.2833,0.00071,0,0,0,0,0,0,0,0,0.00135,7.00038,59.7188,0.00076,0.000499612,0.000499612,0.000499612
16,22.8155,0,4.62486,40.239,0,0,0,0,0,0,0,0,0,0.0014,7.0029,59.7188,0.00079,0.00052793,0.00052793,0.00052793
17,23.8386,0,6.01712,38.91,0,0,0,0,0,0,0,0,0,0.00142,7.00742,59.7188,0.00079,0.000555456,0.000555456,0.000555456
18,24.7873,0.00144,2.53879,37.47,0.00078,0,0,0,0,0,0,0,0,0.00142,7.00742,59.7188,0.00079,0.00058219,0.00058219,0.00058219
19,25.793,0.00087,6.06118,37.5537,0.00047,0,0,0,0,0,0,0,0,0.00151,7.01158,59.7188,0.00084,0.000608132,0.000608132,0.000608132
20,26.8145,0.00071,5.55126,36.1281,0.00038,0,0,0,0,0,0,0,0,0.00156,7.01154,59.7188,0.00086,0.000633282,0.000633282,0.000633282
