epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08318,3.41763,21.8935,5.5676,4.36391,0.00208,0.30556,0.00578,0.00259,0,0,0,0,3.04935,5.18559,4.34091,4.1591,0,0,0
2,6.06472,3.43747,15.4994,4.8526,4.49708,0.00114,0.13889,0.00461,0.00243,0,0,0,0,3.04935,5.18482,4.34091,4.15894,6.18813e-06,6.18813e-06,6.18813e-06
3,6.89093,3.24577,41.3642,5.23844,4.37615,0.001,0.25,0.00621,0.00175,0,0,0,0,3.04958,5.18494,4.34119,4.15853,1.22525e-05,1.22525e-05,1.22525e-05
4,7.68117,3.3875,47.5909,5.56913,4.67634,0.0014,0.30556,0.00269,0.00301,0,0,0,0,3.04942,5.18519,4.34072,4.15872,1.81931e-05,1.81931e-05,1.81931e-05
5,8.43102,3.49709,6.85657,4.94787,4.21752,0.00142,0.30556,0.00244,0.00256,0,0,0,0,3.04944,5.18555,4.34069,4.15874,2.401e-05,2.401e-05,2.401e-05
6,9.08771,3.05826,9.49084,4.78161,4.23157,0.00152,0.30556,0.0056,0.00249,0,0,0,0,3.04921,5.18505,4.34094,4.15857,2.97031e-05,2.97031e-05,2.97031e-05
7,9.70681,2.91377,22.2162,4.79782,4.30415,0.00156,0.30556,0.00596,0.00271,0,0,0,0,3.04968,5.18525,4.33982,4.15879,3.52725e-05,3.52725e-05,3.52725e-05
8,10.3405,3.49382,12.6902,4.93198,4.38886,0.00199,0.38889,0.00744,0.00258,0,0,0,0,3.04994,5.18564,4.33934,4.15866,4.07181e-05,4.07181e-05,4.07181e-05
9,10.9559,3.40799,10.5907,5.12325,4.38216,0.00074,0.19444,0.00174,0.001,0,0,0,0,3.04992,5.18532,4.33947,4.15865,4.604e-05,4.604e-05,4.604e-05
10,11.5625,3.38018,20.9757,4.92685,4.45176,0.00159,0.27778,0.00622,0.00124,0,0,0,0,3.04998,5.18566,4.34171,4.15864,5.12381e-05,5.12381e-05,5.12381e-05
11,12.2352,3.48031,28.4324,4.90964,4.39622,0.00347,0.30556,0.00933,0.00299,0,0,0,0,3.04988,5.18546,4.33956,4.15872,5.63125e-05,5.63125e-05,5.63125e-05
